Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;LONGITUD;LATITUD;DIRECCION
001a;440394,55;4474280,53;41813;01  CENTRO;01-06 SOL;PUERTA DEL SOL, PLAZA, DE LA;1 B;BiciMAD;24;-3.7025753;40.417016;PUERTA DEL SOL, PLAZA, DE LA,1 B
001b;440404,21;4474287,39;41813;01  CENTRO;01-06 SOL;ALCALA, CALLE, DE;1;BiciMAD;24;-3.7024621;40.4170785;ALCALA, CALLE, DE,1
2;440134,83;4474678,23;41813;01  CENTRO;01-05 UNIVERSIDAD;MIGUEL MOYA, CALLE, DE;1;BiciMAD;27;-3.7056739;40.42058;MIGUEL MOYA, CALLE, DE,1
3;440012,98;4475760,68;41813;07  CHAMBERÍ;07-02 ARAPILES;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL;2;BiciMAD;18;-3.7072122;40.4303224;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL,2
4;440396,4;4475565,36;41813;01  CENTRO;01-05 UNIVERSIDAD;MANUELA MALASAÑA, CALLE, DE;3;BiciMAD;27;-3.7026739;40.4285905;MANUELA MALASAÑA, CALLE, DE,3
5;440446,9;4475539,69;41813;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;106;BiciMAD;27;-3.7020762;40.4283628;FUENCARRAL, CALLE, DE,106
6;440754,26;4475071,08;41813;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;63;BiciMAD;24;-3.6984093;40.4241633;HORTALEZA, CALLE, DE,63
7;440811,97;4475187,49;41813;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;75;BiciMAD;21;-3.6977399;40.4252161;HORTALEZA, CALLE, DE,75
8;441020,56;4475463,16;41813;07  CHAMBERÍ;07-04 ALMAGRO;ALONSO MARTINEZ, PLAZA, DE;6;BiciMAD;24;-3.6953067;40.4277143;ALONSO MARTINEZ, PLAZA, DE,6
9;439813,51;4474129,47;41813;01  CENTRO;01-01 PALACIO;SAN MIGUEL, PLAZA, DE;9;BiciMAD;24;-3.7094093;40.4156134;SAN MIGUEL, PLAZA, DE,9
10;441292,12;4475204,43;41813;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;16;BiciMAD;24;-3.6920816;40.4254027;MARQUES DE LA ENSENADA, CALLE, DEL,16
11;440314,86;4475395,19;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;20;BiciMAD;27;-3.7036192;40.4270517;SAN ANDRES, CALLE, DE,20
12;440095,53;4475560,73;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;87;BiciMAD;24;-3.7062202;40.4285271;SAN BERNARDO, CALLE, DE,87
13;439733,78;4475434,65;41813;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;22;BiciMAD;27;-3.7104727;40.4273652;CONDE DUQUE, CALLE, DEL,22
14;439478,78;4475285,54;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;VENTURA RODRIGUEZ, CALLE, DE;2;BiciMAD;27;-3.7134644;40.4260035;VENTURA RODRIGUEZ, CALLE, DE,2
15;440006,72;4475294,52;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN VICENTE FERRER, CALLE, DE;62;BiciMAD;21;-3.707242;40.4261226;SAN VICENTE FERRER, CALLE, DE,62
16;439982,59;4474940,94;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;22;BiciMAD;21;-3.7074931;40.4229357;SAN BERNARDO, CALLE, DE,22
17;440263,35;4474964,43;41813;01  CENTRO;01-05 UNIVERSIDAD;CARLOS CAMBRONERO, PLAZA, DE;2;BiciMAD;27;-3.7041859;40.4231675;CARLOS CAMBRONERO, PLAZA, DE,2
18;440653,13;4474711,92;41813;01  CENTRO;01-04 JUSTICIA;PEDRO ZEROLO, PLAZA, DE;1;BiciMAD;24;-3.6995679;40.4209206;PEDRO ZEROLO, PLAZA, DE,1
19;441008,01;4474818,09;41813;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;4;BiciMAD;24;-3.6953948;40.4219023;PRIM, CALLE, DE,4
20;441021,37;4474517,89;41813;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;24;-3.6952095;40.4191989;ALCALA, CALLE, DE,49
020 ampliacion;441014,52;4474516,49;43291;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;6;-3.6952901;40.4191858;ALCALA, CALLE, DE,49
021a;440483,06;4474586,7;41813;01  CENTRO;01-06 SOL;RED DE SAN LUIS, PLAZA, DE LA;S/N;BiciMAD;24;-3.7015608;40.4197804;RED DE SAN LUIS, PLAZA, DE LA,S/N
021b;440488,63;4474598,34;41813;01  CENTRO;01-06 SOL;RED DE SAN LUIS, PLAZA, DE LA;S/N;BiciMAD;24;-3.7014962;40.4198857;RED DE SAN LUIS, PLAZA, DE LA,S/N
22;440064,4;4474630,53;41813;01  CENTRO;01-06 SOL;JACOMETREZO, CALLE, DE;1;BiciMAD;24;-3.7064995;40.4201452;JACOMETREZO, CALLE, DE,1
23;439912,56;4474639,35;41813;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;S/N;BiciMAD;24;-3.7082901;40.4202137;SANTO DOMINGO, CUESTA, DE,S/N
24;439715,67;4474384,75;41813;01  CENTRO;01-01 PALACIO;CARLOS III, CALLE, DE;1;BiciMAD;24;-3.7105866;40.417906;CARLOS III, CALLE, DE,1
025a;440104,48;4474318,99;41813;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;-3.7059978;40.4173416;CELENQUE, PLAZA, DEL,1
025b;440102,16;4474309,87;41813;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;-3.7060243;40.4172593;CELENQUE, PLAZA, DEL,1
26;441081,06;4475031,74;41813;01  CENTRO;01-04 JUSTICIA;SALESAS, PLAZA, DE LAS;8;BiciMAD;24;-3.6945535;40.4238321;SALESAS, PLAZA, DE LAS,8
27;440983,67;4473861,46;41813;01  CENTRO;01-03 CORTES;JESUS, CALLE, DE;1;BiciMAD;27;-3.6955929;40.4132828;JESUS, CALLE, DE,1
28;440712,84;4474406,69;41813;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;25;BiciMAD;24;-3.6988356;40.4181752;ALCALA, CALLE, DE,25
29;440968,62;4474190,29;41813;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;25;BiciMAD;29;-3.6958008;40.416244;MARQUES DE CUBAS, CALLE, DEL,25
30;439635,83;4474544,08;41813;01  CENTRO;01-01 PALACIO;PAVIA, CALLE, DE;6;BiciMAD;27;-3.7115428;40.4193355;PAVIA, CALLE, DE,6
31;440050,38;4474208,74;41813;01  CENTRO;01-06 SOL;MAYOR, CALLE;18;BiciMAD;27;-3.706625;40.4163446;MAYOR, CALLE,18
32;440090,59;4474042,64;41813;01  CENTRO;01-06 SOL;PROVINCIA, PLAZA, DE LA;1;BiciMAD;24;-3.7061355;40.4148511;PROVINCIA, PLAZA, DE LA,1
33;440334,9;4474112,27;41813;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;23;BiciMAD;24;-3.7032626;40.415496;CARRETAS, CALLE, DE LAS,23
34;440313,43;4473992,08;41813;01  CENTRO;01-03 CORTES;JACINTO BENAVENTE, PLAZA, DE;S/N;BiciMAD;24;-3.7035044;40.4144117;JACINTO BENAVENTE, PLAZA, DE,S/N
35;439730,93;4473970,93;41813;01  CENTRO;01-01 PALACIO;CORDON, CALLE, DEL;4;BiciMAD;24;-3.7103676;40.4141792;CORDON, CALLE, DEL,4
36;439626,96;4474272,13;41813;01  CENTRO;01-01 PALACIO;RAMALES, PLAZA, DE;1;BiciMAD;24;-3.7116215;40.416885;RAMALES, PLAZA, DE,1
37;439409,3;4473605,14;41813;01  CENTRO;01-01 PALACIO;VISTILLAS, TRAVESIA, DE LAS;S/N;BiciMAD;24;-3.7141234;40.4108606;VISTILLAS, TRAVESIA, DE LAS,S/N
38;439637;4473651,64;41813;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;1;BiciMAD;24;-3.7114443;40.4112961;SAN FRANCISCO, CARRERA, DE,1
39;439844;4473646,66;41813;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;16;BiciMAD;27;-3.7090043;40.4112662;CEBADA, PLAZA, DE LA,16
40;440207,51;4473923,52;41813;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;2;BiciMAD;24;-3.7047463;40.4137865;CONDE DE ROMANONES, CALLE, DEL,2
41;440689,3;4473748,28;41813;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;54;BiciMAD;21;-3.6990517;40.4122423;ATOCHA, CALLE, DE,54
42;440759,67;4473581,4;41813;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;32;BiciMAD;24;-3.6982068;40.410744;SANTA ISABEL, CALLE, DE,32
43;440391,04;4473511,6;41813;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;36;BiciMAD;24;-3.7025446;40.4100889;LAVAPIES, CALLE, DE,36
44;440274,63;4473482,26;41813;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;35;BiciMAD;21;-3.7039138;40.4098162;MESON DE PAREDES, CALLE, DEL,35
45;439659,26;4473169,54;41813;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;BiciMAD;21;-3.7111363;40.4069547;PUERTA DE TOLEDO, GLORIETA, DE LA,1
46;439997,73;4473006,31;41813;02  ARGANZUELA;02-02 ACACIAS;RIBERA DE CURTIDORES, CALLE, DE LA;28;BiciMAD;24;-3.7071322;40.4055087;RIBERA DE CURTIDORES, CALLE, DE LA,28
47;440368,37;4472905,07;41813;02  ARGANZUELA;02-02 ACACIAS;EMBAJADORES, GLORIETA, DE;7 B;BiciMAD;24;-3.702755;40.4046233;EMBAJADORES, GLORIETA, DE,7 B
48;440424,7;4472996,09;41813;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;25;BiciMAD;24;-3.7020997;40.4054473;MIGUEL SERVET, CALLE, DE,25
49;440667,66;4473061,04;41813;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;36;BiciMAD;24;-3.6992427;40.4060497;ATOCHA, RONDA, DE,36
50;441180,67;4473307,92;41813;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;57;BiciMAD;24;-3.69322;40.4083102;SANTA ISABEL, CALLE, DE,57
51;441148,47;4473243,04;41813;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;7;BiciMAD;27;-3.6935934;40.4077234;EMPERADOR CARLOS V, PLAZA, DEL,7
52;440544,34;4474002,06;41813;01  CENTRO;01-03 CORTES;SANTA ANA, PLAZA, DE;9;BiciMAD;24;-3.7007838;40.4145181;SANTA ANA, PLAZA, DE,9
53;440543,46;4473309,62;41813;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;4;BiciMAD;24;-3.7007295;40.4082802;VALENCIA, CALLE, DE,4
54;440592,35;4475345,44;41813;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;7;BiciMAD;21;-3.7003435;40.4266233;BARCELO, CALLE, DE,7
55;440455,56;4475063,26;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN ILDEFONSO, PLAZA, DE;8;BiciMAD;24;-3.7019295;40.4240716;SAN ILDEFONSO, PLAZA, DE,8
56;440335,43;4474443,96;41813;01  CENTRO;01-06 SOL;CARMEN, PLAZA, DEL;1;BiciMAD;27;-3.7032875;40.418484;CARMEN, PLAZA, DEL,1
57;439536,86;4475688,34;41813;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24;BiciMAD;27;-3.7128181;40.4296363;SANTA CRUZ DE MARCENADO, CALLE, DE,24
58;440792,31;4474859,33;41813;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;33;BiciMAD;27;-3.6979411;40.4222585;AUGUSTO FIGUEROA, CALLE, DE,33
59;440271,27;4475221,1;41813;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;30;BiciMAD;21;-3.7041167;40.4254802;ESPIRITU SANTO, CALLE, DEL,30
60;441616,3;4474541,2;41813;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;S/N;BiciMAD;27;-3.6881994;40.4194508;ALFONSO XII, CALLE, DE,S/N
61;442720,29;4474753,26;41813;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;30;BiciMAD;24;-3.675206;40.4214379;O'DONNELL, CALLE, DE,30
62;443105,21;4474725,61;41813;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;S/N;BiciMAD;27;-3.6706664;40.4212152;O'DONNELL, CALLE, DE,S/N
63;443101,23;4474356,23;41813;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;64;BiciMAD;24;-3.6706803;40.4178874;IBIZA, CALLE, DE,64
65;441513,54;4474236,11;41813;03  RETIRO;03-05 JERÓNIMOS;ANTONIO MAURA, CALLE, DE;15;BiciMAD;24;-3.6893825;40.4166952;ANTONIO MAURA, CALLE, DE,15
67;441190,08;4473587,45;41813;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28;BiciMAD;67;-3.6931349;40.410829;ALMADEN, CALLE, DE,28
68;441358,92;4473802,81;41813;03  RETIRO;03-05 JERÓNIMOS;ESPALTER, CALLE, DE;1;BiciMAD;21;-3.6911649;40.412781;ESPALTER, CALLE, DE,1
69;441551,54;4473499,36;41813;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;54;BiciMAD;27;-3.6888669;40.4100609;ALFONSO XII, CALLE, DE,54
70;442496,79;4474058,47;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-3.6777776;40.4151635;MENENDEZ PELAYO, AVENIDA, DE,S/N
71;442816,22;4474149,49;41813;03  RETIRO;03-06 NIÑO JESÚS;DOCE DE OCTUBRE, CALLE, DEL;28;BiciMAD;24;-3.674021;40.4160054;DOCE DE OCTUBRE, CALLE, DEL,28
72;443219,95;4474136,22;41813;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;99;BiciMAD;24;-3.6692614;40.4159135;DOCTOR ESQUERDO, CALLE, DEL,99
73;443229,99;4473642,11;41813;03  RETIRO;03-03 ESTRELLA;ASTROS, PLAZA, DE LOS;S/N;BiciMAD;24;-3.669099;40.411463;ASTROS, PLAZA, DE LOS,S/N
74;442595,78;4473679,92;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-3.6765768;40.4117601;MENENDEZ PELAYO, AVENIDA, DE,S/N
75;442436,91;4473301,34;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-3.6784149;40.4083387;MENENDEZ PELAYO, AVENIDA, DE,S/N
76;442712,67;4473182,27;41813;03  RETIRO;03-06 NIÑO JESÚS;JUAN DE URBIETA, CALLE, DE;48;BiciMAD;24;-3.6751544;40.4072851;JUAN DE URBIETA, CALLE, DE,48
77;443083,53;4473073,95;41813;03  RETIRO;03-01 PACÍFICO;CONDE DE CASAL, PLAZA, DEL;8;BiciMAD;24;-3.6707742;40.4063347;CONDE DE CASAL, PLAZA, DEL,8
78;442755,86;4472436,57;41813;03  RETIRO;03-02 ADELFAS;CERRO DE LA PLATA, CALLE, DEL;2;BiciMAD;24;-3.6745783;40.4005704;CERRO DE LA PLATA, CALLE, DEL,2
79;442252,73;4472937,49;41813;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;38;BiciMAD;24;-3.6805524;40.4050482;MENENDEZ PELAYO, AVENIDA, DE,38
080a;441417,53;4473211,23;41813;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-3.6904197;40.4074558;CIUDAD DE BARCELONA, AVENIDA, DE LA,S/N
080b;441394,74;4473233,56;41813;03  RETIRO;03-05 JERÓNIMOS;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-3.6906904;40.4076554;CIUDAD DE BARCELONA, AVENIDA, DE LA,S/N
81;441288,14;4473447,57;41813;03  RETIRO;03-05 JERÓNIMOS;PRADO, PASEO, DEL;S/N;BiciMAD;24;-3.6919663;40.4095758;PRADO, PASEO, DEL,S/N
82;443177,93;4473311,29;41813;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;2;BiciMAD;24;-3.669683;40.4084793;LIRA, CALLE, DE LA,2
83;442770,38;4473844,96;41813;03  RETIRO;03-06 NIÑO JESÚS;PIO BAROJA, CALLE, DE;8 B;BiciMAD;24;-3.6745339;40.4132589;PIO BAROJA, CALLE, DE,8 B
84;442918,27;4472746,05;41813;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;191;BiciMAD;27;-3.6726923;40.4033695;DOCTOR ESQUERDO, CALLE, DEL,191
